"FirstName";"ID"
"Asfrior";1
"Einvaldr";2
"Fraujawaru";3
"Friogestr";4
"Gauta-harjaR";5
"Gebaharjiz";6
"Imvaldr";7
"AilaR";8
"Aadne";9
"Aadvard";10
"Aage";11
"Aagne";12
"Aake";13
"Aamund";14
"Aane";15
"Aane";16
"Aanje";17
"Aano";18
"Aanond";19
"Aanund";20
"Aarfin";21
"Aarne";22
"Aaro";23
"Aarstei";24
"Aasbjor";25
"Aasgeir";26
"Aaskar";27
"Aasmund";28
"Aasold";29
"Aaste m";30
"Aasulf";31
"Aasulv";32
"Aasvald";33
"Aavald";34
"Abbi";35
"Abel";36
"Abior";37
"Abjor";38
"Abjor";39
"Abner";40
"Abraham";41
"Abram";42
"Absalo";43
"Acasius";44
"Achim";45
"Acilinus";46
"Adalbert";47
"Adalf";48
"Adalv";49
"Adalwardus";50
"Adam";51
"AdAm";52
"Adar";53
"Addar";54
"Addi";55
"Adel";56
"Adelstei";57
"Adelste";58
"Adelwardus";59
"Adi";60
"AdiarfR";61
"Adiel";62
"Adils";63
"Adler";64
"Adne";65
"Adolf";66
"Adolph";67
"Adolphus";68
"Adonis";69
"Ador";70
"Adriae";71
"Adria";72
"Adriano";73
"Adrianus";74
"Adriel";75
"Adulphus";76
"AEge";77
"AEgir";78
"AErinbjor";79
"Afastr";80
"Afi";81
"Afkarr";82
"Afli";83
"Afrafasti";84
"Afvaldr";85
"AgAEiRR";86
"AgAEiRR";87
"Agatho";88
"Agato";89
"Agautr";90
"Agdar";91
"Agder";92
"Agdiarfr";93
"Age";94
"Agerto";95
"Agilamunduz";96
"Agmund";97
"Agmundr";98
"Agnar";99
"Agnarr";100
"Agne";101
"Agne m";102
"Agner";103
"Agneto";104
"Agni m";105
"Agnor";106
"Agrim";107
"Agur";108
"Agust";109
"Aguti";110
"Agvald";111
"Agvaldr";112
"Agvior";113
"Agoi";114
"Ahl";115
"Ahni";116
"Ai";117
"AI";118
"Ai";119
"Aide";120
"Ailaifr";121
"AilmAEr";122
"Ailo";123
"Aimar";124
"Aimo 1";125
"Aimo 2";126
"Ai";127
"Aina-libaR";128
"Aina-rikiaR";129
"AinarikiaR";130
"Airikr";131
"Aivert";132
"Aiwa-libaR";133
"Aiwa-rikiaR";134
"Aiwigaizaz";135
"Aiwiharjaz";136
"Aipalataz";137
"Akaz";138
"Ake";139
"Aki";140
"Akim";141
"Akira";142
"Akkim";143
"Aksel";144
"Aksnes";145
"Akvilas";146
"Al";147
"Ala m";148
"AlAEifR";149
"Ala";150
"Aland";151
"Alarik";152
"Alarr";153
"Alarr";154
"Alawidaz";155
"Alawiduz";156
"Alawiniz";157
"Alba";158
"Alba";159
"Alberg";160
"Albert";161
"Alberto";162
"Albertus";163
"Albigaizaz";164
"Albiharjaz";165
"Albi";166
"Albinus";167
"Albiz";168
"Albjor";169
"Alboor";170
"Albrecht";171
"Albrekt";172
"Albret";173
"Albreth";174
"Albrigt";175
"Albrikt";176
"Aldafaoir";177
"Aldafoor";178
"Aldar";179
"Aldi";180
"Aldor";181
"Aldrik";182
"AldulfR";183
"Ale";184
"Alec";185
"Aleifr";186
"Aleifr";187
"Alein";188
"Alek";189
"Aleks";190
"Aleksander";191
"Aleksei";192
"Aleksej";193
"Aleksey";194
"Ale";195
"Alert";196
"Ales";197
"Alex";198
"Alexander";199
"Alexei";200
"Alexej";201
"Alexey";202
"Alexis";203
"Alexius";204
"Alf";205
"AlfAEr";206
"Alfar";207
"Alfarin";208
"Alfarr";209
"Alfarr";210
"Alfaoir";211
"Alfbjor";212
"Alff";213
"Alffinnr";214
"Alffuer";215
"AlfgAEiRR";216
"Alfgautr";217
"Alfgeirr";218
"Alfgeirr";219
"AlfgrImr";220
"Alfie";221
"Alfin";222
"AlfkAEll";223
"Alfkautr";224
"Alfketill";225
"AlflakR";226
"Alfljotr";227
"Alfmoor";228
"Alfo";229
"Alfons";230
"Alfoor";231
"Alfr";232
"Alfr";233
"AlfrAor";234
"Alfred";235
"Alfregg";236
"Alfrekr";237
"Alfrid";238
"Alfrigg";239
"Alfrikr";240
"AlfrIkR";241
"AlfuAEr";242
"Alfuar";243
"Alfuer";244
"Alfuir";245
"Alfvaldr";246
"Alfver";247
"Alfvi";248
"Alfwar";249
"Alfwer";250
"Alfporr";251
"Algautr";252
"Algeyr";253
"AlgIsl";254
"Algot";255
"Ali";256
"Ali m";257
"Aljamarkiz";258
"Alla m";259
"Alla";260
"Alle";261
"Allert";262
"AllfuAEr";263
"Allfuer";264
"AllfwAEr";265
"Alli m";266
"AlluAEr";267
"Allvaldi";268
"Ally";269
"Almar";270
"Almarr";271
"Almarr";272
"Almer";273
"AlmgAEiRR";274
"Almgautr";275
"Almgeirr";276
"Almgeirr";277
"Almod";278
"Almoor";279
"Almoor";280
"Almstein";281
"Alois";282
"Aloysius";283
"Alphonse";284
"Alrek";285
"Alrekr";286
"Alrik";287
"AlrIkR";288
"Alsing";289
"Alsvartr";290
"Alsvior";291
"Alt";292
"Alto";293
"AluAEr";294
"Aluar";295
"Aluer";296
"Aluerus";297
"Alugodaz";298
"Alugodu";299
"Aluko";300
"AluniR";301
"Aluwihaz";302
"Alv";303
"Alvald";304
"Alvaldi";305
"Alvaldr";306
"Alvar";307
"Alvard";308
"Alvari";309
"Alvaro";310
"Alve";311
"Alver";312
"AlveR";313
"Alverus";314
"Alvfin";315
"Alvgeir";316
"Alvi";317
"Alvi";318
"Alvinius";319
"Alvir";320
"Alvis";321
"AlvIss";322
"Alwe";323
"Alwi";324
"Alpjofr";325
"Amadeus";326
"Amaldus";327
"Amalek";328
"Amalik";329
"Amandius";330
"Amandus";331
"Amanuel";332
"Ambhofoi";333
"Ambi";334
"Ambjor";335
"Ambros";336
"Ambrosius";337
"Amdi";338
"Amfin";339
"Amir";340
"Amlooi";341
"Amo";342
"Amor";343
"Amos";344
"Amr";345
"Amr";346
"Amund";347
"Amund";348
"Amundi";349
"Amundr";350
"A";351
"An m";352
"Ana-wanduR";353
"AnagAEiRR";354
"Anager";355
"Analius";356
"Ananias";357
"Anarr";358
"Anarr";359
"Anatho";360
"Anato";361
"Anbjor";362
"Ancerus";363
"Ancher";364
"Andar";365
"Andaor";366
"Andblaoi";367
"Ande";368
"Anders";369
"AndhrImnir";370
"Andi";371
"Ando";372
"Andolf";373
"Andor";374
"Andorf";375
"Andorr";376
"AndrAEs";377
"Andras";378
"Andre";379
"Andre";380
"Andreas";381
"Andrei";382
"Andrej";383
"Andres";384
"Andres";385
"Andrew";386
"Andrey";387
"Andri";388
"Andrias";389
"Andries";390
"Andri";391
"Andris";392
"Andro";393
"Androder";394
"Androe";395
"Andrus";396
"Andrzej";397
"Andsvarr";398
"AndswaruR";399
"Andvari";400
"Andvettr";401
"Andy";402
"Ane";403
"Ane";404
"Anes";405
"Anet";406
"Anfeldt";407
"Anfelt";408
"Anfi";409
"Anfind";410
"Anfin";411
"Anfred";412
"Angantyr";413
"Angel";414
"Angell";415
"Angelo";416
"Angrim";417
"Angus";418
"Ani";419
"Ani";420
"Anje";421
"Anki m";422
"Anleifr";423
"An";424
"Annarr";425
"Ano";426
"Anond";427
"AnsugastiR";428
"Ansugastiz";429
"Ansugislaz";430
"Ansulaibaz";431
"Ansurr";432
"Ansvarr";433
"Antsuar";434
"Anu-aiRaR";435
"Anu-laibhaR";436
"Anu-wanduR";437
"Anu-winduR";438
"AnugaiRaR";439
"Anuherr";440
"AnulaibaR";441
"Anumundr";442
"Anund";443
"Anundi";444
"Anundr";445
"Anung";446
"Anvindr";447
"Anvior";448
"Api";449
"Arfin";450
"Argeir";451
"Ari m";452
"Arinbior";453
"Arinfastr";454
"AringAEiRR";455
"Arinmundr";456
"Arleiv";457
"Armoor";458
"Armoor";459
"Arnaldr";460
"Arnbior";461
"Arnbjor";462
"Arndor";463
"Arndorr";464
"Arne";465
"Arnfasti";466
"Arnfastr";467
"Arnfinni";468
"Arnfinnr";469
"Arnfroor";470
"ArngAEiRR";471
"Arngeirr";472
"ArngIsl";473
"ArngrImr";474
"Arnhallr";475
"Arnhofoi";476
"Arnhvatr";477
"Arni";478
"Arni";479
"Arnis";480
"ArnIsl";481
"ArnkAEll";482
"ArnkAEtill";483
"Arnkell";484
"Arnketill";485
"Arnlaugr";486
"Arnleifr";487
"Arnliotr";488
"Arnljotr";489
"Arnmoor";490
"Arnmundr";491
"Arnniutr";492
"Arnoddr";493
"Arnorr";494
"Arnroor";495
"ArnstAEin";496
"Arnstein";497
"Arnulfr";498
"Arnulfuer";499
"Arnvior";500
"Arnpjofr";501
"Arnpor";502
"Arnporr";503
"Aro";504
"Aro";505
"Arstei";506
"Arta";507
"Arvakr";508
"Arvior";509
"Asabragr";510
"Asbior";511
"Asbjor";512
"Asbjor";513
"Asbrand";514
"Asbrandr";515
"AsdiarfR";516
"Asfaro";517
"Asfastr";518
"Asfrod";519
"AsgAEiRR";520
"Asgautr";521
"Asgeir";522
"Asgeirr";523
"AsgIsl";524
"Asgotr";525
"Asgrim";526
"AsgrImr";527
"Asi";528
"AskAEll";529
"Askell";530
"Asketill";531
"Aski";532
"Askjell";533
"Askr";534
"Asl";535
"AslAEifR";536
"AslAEikR";537
"Aslak";538
"AslakR";539
"AslAkr";540
"Asleifr";541
"Asleik";542
"Asleikr";543
"Asleiv m";544
"Asli";545
"Asmarr";546
"Asmoor";547
"Asmund";548
"Asmundr";549
"Asmundr";550
"Asmun";551
"Asniutr";552
"Asodd";553
"Asoddr";554
"Asol";555
"Asold";556
"Asolfr";557
"Aspir";558
"Asrapr";559
"Asrod";560
"Asroor";561
"Assi m";562
"Assur";563
"Assurr";564
"Aste m";565
"Astei";566
"Asti";567
"Astor";568
"Astraor";569
"AstrAor";570
"Asugasdi";571
"AsugisalaR";572
"AsugislaR";573
"Asul";574
"Asulf";575
"AsulfR";576
"AsulfR";577
"Asulfr";578
"Asulv";579
"Asvald";580
"Asvaldi";581
"Asvaldr";582
"Asvar";583
"Asvard";584
"Asvaror";585
"Asvior";586
"Aswipr";587
"Atfari";588
"Ati";589
"Atli";590
"AtrIor";591
"Atti m";592
"Attill";593
"Atvaror";594
"Auddu";595
"Auden";596
"Audhe";597
"Audho";598
"Audhu";599
"Audhun";600
"Audoenus";601
"Audo";602
"Audoneus";603
"Audovenus";604
"Auduennus";605
"Auduenus";606
"Audune";607
"Audunn m";608
"Audunus";609
"Audw";610
"Auga m";611
"Augnarr";612
"Augu";613
"Augvaldr";614
"Auja-winduR";615
"Aulfr";616
"Aulir";617
"Aulver";618
"Aulvir";619
"Aumundr";620
"Au";621
"Auni m";622
"Aunmundr";623
"Aun";624
"Aunundr";625
"Aunvindr";626
"Aurbooa";627
"Aurgelmir";628
"AurgrImnir";629
"AurIkR";630
"Aurkonungr";631
"Aurnir";632
"Aurvandill";633
"Aurvangr";634
"Austbior";635
"Austmaor";636
"Austri";637
"AutiR";638
"Auvindr";639
"Auo-winiR";640
"Auobior";641
"Auobjor";642
"Auofinnr";643
"AuogAEiRR";644
"Auogaror";645
"Auogautr";646
"Auogeirr";647
"Auogi";648
"AuogIsl";649
"AuogrImr";650
"Auohvatr";651
"Auoi";652
"Auoi";653
"AuoIsl";654
"AuokAEll";655
"AuokAEtill";656
"Auokell";657
"Auoketill";658
"Auoleifr";659
"Auoman";660
"Auomaor";661
"Auomundr";662
"Auoolfr";663
"Auor";664
"AuorIkR";665
"AuostAEin";666
"Auostein";667
"AuoulfR";668
"Auoulfr";669
"Auou";670
"Auoun";671
"Auovaldr";672
"Auovatr";673
"Auovi";674
"Auovini";675
"Auovinr";676
"Auovior";677
"Aupv";678
"AvAEiRR";679
"Avald";680
"Avaldi";681
"Avaldr";682
"Avangr";683
"Avarr";684
"Avdvenus";685
"Avior";686
"Avov";687
"Awde";688
"Awdhe";689
"Awdho";690
"Awdhu";691
"Awdi";692
"Awdo";693
"Awdond";694
"Awdund";695
"Awdw";696
"Azurr";697
"Aoagisl";698
"AoakA";699
"Aoalbrandr";700
"Aoalbriktr";701
"AoalgrImr";702
"Aoalherr";703
"AoalrAor";704
"AoalrIkr";705
"Aoalstein";706
"Aogils";707
"AogIsl";708
"Aoill";709
"Aoils";710
"Aoisl";711
"AoIsl";712
"Aoulfr";713
"Aovinr";714
"Apa-gIslaR";715
"ApawulfaR";716
"Apawulfaz";717
"Apgisl";718
"Apils";719
"Apisl";720
"Baard";721
"BAEgliR";722
"BAEiliR";723
"BAEinvior";724
"BAEringur";725
"BAErulf";726
"BAfurr";727
"Bagge";728
"Baggi";729
"Balder";730
"Baldi";731
"Baldor";732
"Baldr";733
"Baldrek";734
"Baldrekr";735
"Baldur";736
"Baldvi";737
"Baldvini";738
"Balki";739
"BAlki";740
"Balli";741
"BalliR";742
"Ballsi";743
"BallungR";744
"Balo";745
"Balsi";746
"Baltasar";747
"Balti";748
"Baltr";749
"Baltser";750
"Baltzer";751
"Bangsi";752
"Banki";753
"Barak";754
"BArd";755
"BardAEr";756
"Bardo";757
"Bardo";758
"BArek";759
"BArekr";760
"Bari";761
"Barius";762
"Barki";763
"Barkr";764
"Barkvior";765
