"FirstName";"ID"
"Aaste";1
"Abbi";2
"Abel";3
"Adda";4
"Addi";5
"Adi";6
"Aggi";7
"Agne";8
"Agni";9
"Akira";10
"Al";11
"Ale";12
"Ale";13
"Ales";14
"Alex";15
"Alexis";16
"Alfie";17
"Alfred";18
"Alfrid";19
"Ali";20
"Ali";21
"Alla";22
"Alle";23
"Alli";24
"Ally";25
"Alva";26
"Alvi";27
"Ami";28
"Amor";29
"A";30
"Ana";31
"Ande";32
"Andi";33
"Andrea";34
"Andy";35
"Angel";36
"Ania";37
"Anje";38
"Anki";39
"Anne";40
"Anthonie";41
"Anu";42
"Ara";43
"Ariel";44
"Ari";45
"Aris";46
"Arly";47
"Arnfried";48
"Arnika";49
"Arnlaug";50
"Arnleif";51
"Arnleiv";52
"Arnljot";53
"Asa";54
"Åse";55
"Ashley";56
"Ashly";57
"Asle";58
"Åsleiv";59
"Asløv";60
"Assa";61
"Åste";62
"Atta";63
"Aubrey";64
"Audu";65
"Audun";66
"Augustine";67
"Austi";68
"Ava";69
"Awa";70
"Beau";71
"Bela";72
"Benny";73
"Bergljot";74
"Berny";75
"Bille";76
"Billie";77
"Billy";78
"Bjørk";79
"Bo";80
"Bobby";81
"Bodil";82
"Botel";83
"Brønnil";84
"Brønnild";85
"Brynel";86
"Brynhild";87
"Brynild";88
"Cai";89
"Caj";90
"Camille";91
"Carly";92
"Carol";93
"Cay";94
"Cecil";95
"Charley";96
"Charlie";97
"Charlot";98
"Charly";99
"Chris";100
"Chriss";101
"Claude";102
"Conni";103
"Connie";104
"Conny";105
"Cris";106
"Dana";107
"Daniele";108
"Danni";109
"Danny";110
"Dany";111
"Dara";112
"Darling";113
"Dea";114
"Denis";115
"Dila";116
"Divert";117
"Dixie";118
"Dominique";119
"Dotta";120
"Eddi";121
"Eddie";122
"Eddy";123
"Edi";124
"Eidis";125
"Eifrid";126
"Eik";127
"Eike";128
"Eina";129
"Eine";130
"Eir";131
"Eira";132
"Elfrid";133
"Eli";134
"Elia";135
"Elie";136
"Elija";137
"Elike";138
"Elis";139
"Elisa";140
